OrderID,CustomerID,EmployeeID,OrderDate
1,197,5,2022-01-30
2,94,6,2022-07-02
3,97,3,2022-11-25
4,128,2,2022-05-04
5,61,8,2022-03-05
6,135,5,2022-08-17
7,166,5,2022-04-22
8,91,8,2022-03-03
9,195,8,2022-10-31
10,115,8,2022-11-30
11,71,5,2022-06-18
12,26,1,2022-08-10
13,1,7,2022-08-02
14,116,4,2022-07-14
15,23,8,2022-07-22
16,110,9,2022-12-20
17,165,8,2022-03-21
18,160,5,2022-01-14
19,57,9,2022-04-23
20,33,2,2022-02-28
21,171,10,2022-05-28
22,113,8,2022-08-27
23,26,1,2022-05-26
24,3,3,2022-01-18
25,68,8,2022-10-23
26,88,10,2022-01-30
27,22,8,2022-12-05
28,8,3,2022-03-13
29,144,8,2022-04-01
30,106,5,2022-08-03
31,61,6,2022-12-13
32,32,4,2022-07-06
33,100,4,2022-05-24
34,13,10,2022-01-16
35,51,4,2022-09-21
36,141,10,2022-06-27
37,147,8,2022-11-06
38,51,10,2022-01-14
39,180,9,2022-03-24
40,181,9,2022-02-12
41,56,6,2022-08-08
42,152,3,2022-05-04
43,165,5,2022-03-24
44,67,9,2022-01-12
45,56,2,2022-11-14
46,114,3,2022-09-10
47,165,6,2022-06-10
48,39,5,2022-03-21
49,110,6,2022-11-25
50,186,8,2022-05-20
51,146,2,2022-05-24
52,7,9,2022-12-21
53,72,1,2022-02-10
54,31,4,2022-04-27
55,181,6,2022-01-28
56,65,8,2022-12-07
57,124,2,2022-11-20
58,145,9,2022-09-28
59,195,9,2022-10-10
60,154,7,2022-07-01
61,138,8,2022-02-09
62,195,1,2022-01-11
63,148,2,2022-12-06
64,14,6,2022-08-06
65,164,2,2022-03-22
66,175,7,2022-07-05
67,67,6,2022-05-10
68,166,9,2022-10-19
69,84,6,2022-03-18
70,28,9,2022-11-11
71,84,7,2022-11-09
72,130,1,2022-07-29
73,116,2,2022-11-08
74,27,8,2022-05-19
75,145,8,2022-02-17
76,124,3,2022-09-25
77,55,2,2022-08-01
78,19,6,2022-09-23
79,21,4,2022-05-29
80,143,10,2022-01-28
81,138,9,2022-01-08
82,27,2,2022-01-15
83,189,9,2022-08-20
84,167,3,2022-01-07
85,61,5,2022-03-25
86,148,2,2022-09-16
87,168,8,2022-10-24
88,46,8,2022-12-22
89,161,4,2022-11-12
90,75,2,2022-02-25
91,92,5,2022-03-30
92,19,2,2022-01-16
93,114,3,2022-02-21
94,177,7,2022-03-19
95,52,10,2022-08-05
96,105,2,2022-04-14
97,61,8,2022-04-18
98,16,7,2022-01-27
99,73,9,2022-12-02
100,86,3,2022-02-22
101,142,5,2022-09-22
102,39,5,2022-12-25
103,94,1,2022-03-03
104,188,2,2022-02-10
105,15,3,2022-03-04
106,4,8,2022-01-14
107,46,10,2022-12-23
108,120,2,2022-12-14
109,158,7,2022-04-28
110,19,7,2022-08-04
111,186,6,2022-03-27
112,200,7,2022-03-30
113,125,4,2022-03-22
114,150,10,2022-01-24
115,187,6,2022-03-23
116,120,10,2022-09-16
117,139,3,2022-01-17
118,133,7,2022-01-30
119,182,1,2022-02-02
120,60,9,2022-05-12
121,135,7,2022-09-10
122,173,10,2022-08-01
123,100,9,2022-11-02
124,185,2,2022-09-12
125,51,5,2022-05-18
126,32,4,2022-09-19
127,112,9,2022-05-09
128,63,5,2022-07-09
129,120,5,2022-12-19
130,61,10,2022-04-13
131,27,5,2022-05-13
132,113,6,2022-10-20
133,90,7,2022-05-02
134,101,5,2022-03-12
135,121,2,2022-08-28
136,73,6,2022-01-11
137,80,1,2022-12-12
138,148,2,2022-03-17
139,159,3,2022-02-26
140,137,6,2022-05-13
141,182,6,2022-08-15
142,16,2,2022-05-24
143,105,2,2022-07-27
144,129,9,2022-09-01
145,155,2,2022-07-02
146,8,1,2022-01-23
147,73,6,2022-12-21
148,169,4,2022-03-10
149,31,8,2022-12-29
150,130,3,2022-09-18
151,85,2,2022-01-06
152,35,3,2022-10-10
153,77,8,2022-04-22
154,136,2,2022-07-30
155,38,1,2022-12-28
156,36,4,2022-11-22
157,151,8,2022-06-27
158,102,6,2022-09-25
159,55,9,2022-12-09
160,86,5,2022-12-14
161,32,5,2022-09-10
162,188,7,2022-08-31
163,196,3,2022-01-07
164,167,5,2022-03-02
165,146,2,2022-10-02
166,93,2,2022-03-18
167,124,8,2022-07-10
168,121,7,2022-02-27
169,106,5,2022-02-23
170,177,3,2022-09-20
171,32,7,2022-05-08
172,59,1,2022-03-10
173,145,6,2022-06-08
174,125,10,2022-06-04
175,82,5,2022-09-02
176,2,4,2022-02-13
177,172,3,2022-10-14
178,92,2,2022-10-23
179,149,5,2022-04-22
180,39,2,2022-12-03
181,165,2,2022-06-08
182,5,10,2022-12-28
183,157,5,2022-08-10
184,165,8,2022-06-15
185,67,2,2022-02-26
186,167,6,2022-11-18
187,7,10,2022-01-24
188,102,1,2022-10-25
189,75,3,2022-07-12
190,178,3,2022-06-02
191,165,4,2022-06-05
192,163,1,2022-02-06
193,26,10,2022-07-24
194,38,6,2022-04-30
195,170,6,2022-07-08
196,191,2,2022-02-24
197,46,4,2022-09-20
198,7,2,2022-02-01
199,153,10,2022-02-11
200,80,3,2022-11-24
201,160,4,2022-02-09
202,112,10,2022-11-04
203,164,5,2022-08-18
204,58,3,2022-01-16
205,93,8,2022-06-17
206,71,7,2022-08-06
207,174,10,2022-03-30
208,185,4,2022-11-27
209,158,5,2022-05-17
210,144,9,2022-09-07
211,3,3,2022-07-05
212,19,7,2022-02-27
213,66,8,2022-02-20
214,8,5,2022-07-29
215,146,10,2022-12-03
216,3,10,2022-02-03
217,20,7,2022-01-06
218,83,7,2022-05-21
219,68,5,2022-02-27
220,70,9,2022-02-13
221,161,9,2022-05-28
222,145,9,2022-12-29
223,5,1,2022-01-22
224,122,3,2022-07-30
225,134,7,2022-12-12
226,151,1,2022-12-06
227,32,7,2022-02-14
228,31,4,2022-09-28
229,123,9,2022-06-15
230,38,8,2022-03-11
231,33,3,2022-07-17
232,113,8,2022-02-13
233,161,6,2022-12-19
234,56,7,2022-09-11
235,141,8,2022-01-05
236,18,1,2022-01-25
237,134,1,2022-09-11
238,166,7,2022-01-05
239,57,6,2022-09-10
240,3,8,2022-11-14
241,43,9,2022-08-03
242,104,9,2022-10-19
243,40,3,2022-07-30
244,193,6,2022-03-30
245,128,2,2022-08-25
246,143,4,2022-01-31
247,93,7,2022-02-06
248,192,3,2022-12-06
249,145,5,2022-10-08
250,17,9,2022-12-23
251,128,6,2022-10-23
252,70,4,2022-02-24
253,114,6,2022-09-23
254,118,4,2022-04-24
255,190,7,2022-12-22
256,168,2,2022-03-01
257,195,5,2022-02-19
258,199,8,2022-05-27
259,140,9,2022-03-25
260,160,1,2022-05-06
261,175,6,2022-07-05
262,142,9,2022-01-01
263,62,2,2022-04-24
264,37,8,2022-02-08
265,189,4,2022-09-23
266,169,9,2022-09-25
267,165,8,2022-06-12
268,103,4,2022-11-18
269,61,3,2022-11-12
270,10,7,2022-06-18
271,174,3,2022-10-19
272,28,8,2022-04-07
273,177,1,2022-11-19
274,190,1,2022-08-18
275,128,1,2022-12-11
276,47,10,2022-12-30
277,7,4,2022-05-23
278,120,7,2022-06-04
279,21,10,2022-07-16
280,19,2,2022-08-25
281,116,7,2022-03-06
282,74,8,2022-11-22
